happiness_name,suicide_name
United States,United States of America
Russia,Russian Federation
Czech Republic,Czechia
South Korea,"Korea, Rep."
Vietnam,Viet Nam
Ivory Coast,C̫te d'Ivoire
Slovakia,Slovak Republic
Iran,Iran (Islamic Republic of)
Egypt,"Egypt, Arab Rep."
Venezuela,Venezuela (Bolivarian Republic of)
Bolivia,Bolivia (Plurinational State of)
Hong Kong S.A.R. of China,Hong Kong
Palestinian Territories,State of Palestine
Laos,Lao People's Democratic Republic
Moldova,Republic of Moldova
Syria,Syrian Arab Republic
Micronesia,Micronesia (Federated States of)
North Macedonia,North Macedonia (former Yugoslav Republic of)
Gambia,"Gambia, The"
Bahamas,"Bahamas, The"
